name,price,rating,reviews,url
"Apple iPhone 12 Mini, 64GB, Black - Unlocked (Renewed)",174.,4.0,"15,384",https://www.amazon.com/Apple-iPhone-12-Mini-Black/dp/B08PPDJWC8/ref=sr_1_1
"Apple iPhone 12 Pro Max 5G, US Version, 128GB, Graphite - Unlocked (Renewed)",353.,4.1,"7,300",https://www.amazon.com/Apple-iPhone-Pro-128GB-Graphite/dp/B08PL89SJS/ref=sr_1_2
Apple,N/A,4.3,411,https://www.amazon.com/Apple-iPhone-Pacific-Carrier-Subscription/dp/B08L5PHJ2Y/ref=sr_1_3
Apple,N/A,4.1,111,https://www.amazon.com/Apple-iPhone-Space-Cellular-MX8X2LL/dp/B0CK55NFNK/ref=sr_1_4
"Apple iPhone SE 3rd Gen, 128GB, Midnight - Unlocked (Renewed Premium)",N/A,4.3,462,https://www.amazon.com/Apple-SE-3rd-Gen-Midnight/dp/B0BY5QPTP9/ref=sr_1_5
"Apple iPhone SE (2nd Generation), 64GB, Red - Unlocked (Renewed)",104.,4.2,"20,291",https://www.amazon.com/Apple-iPhone-SE-64GB-Red/dp/B088N8TF64/ref=sr_1_6
"Apple iPhone 15 Pro Max, 512GB, White Titanium - Verizon (Renewed)",N/A,3.9,968,https://www.amazon.com/Apple-iPhone-512GB-White-Titanium/dp/B0CMZQWQJ1/ref=sr_1_7
Apple iPhone 8 64GB Unlocked - Gold & iPhone 8 64GB Unlocked - Gray,N/A,N/A,No featured offers available,https://www.amazon.com/Apple-iPhone-64GB-Unlocked-Gold/dp/B0CTX97TM4/ref=sr_1_8
Apple,N/A,5.0,4,https://www.amazon.com/Apple-iPhone-5C-Sprint-Green/dp/B00F3IIVV4/ref=sr_1_9
"Apple iPhone 13, 128GB, Midnight - Unlocked (Renewed Premium)",N/A,4.3,"1,715",https://www.amazon.com/iPhone-13-128GB-Midnight-Unlocked/dp/B0BGQKY8S9/ref=sr_1_10
"Apple iPhone 14 Pro Max, 128GB, Deep Purple - Unlocked (Renewed)",606.,4.0,"3,219",https://www.amazon.com/Apple-iPhone-128GB-Deep-Purple/dp/B0BN9P1GXC/ref=sr_1_11
"Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed Premium)",N/A,4.2,"1,034",https://www.amazon.com/Apple-iPhone-14-128GB-Midnight/dp/B0BYL93774/ref=sr_1_12
"Apple iPhone 13 Pro Max, 256GB, Alpine Green - Unlocked (Renewed)",510.,4.1,"7,916",https://www.amazon.com/Apple-iPhone-13-Pro-Max/dp/B0B5FLFKZ7/ref=sr_1_13
"Apple iPhone 12, 64GB, (Product)Red - Fully Unlocked (Renewed)",208.,4.1,"29,473",https://www.amazon.com/Apple-iPhone-64GB-Product-Red/dp/B08PNXBKN5/ref=sr_1_14
"Apple iPhone 14 Pro, 256GB, Space Black - Unlocked (Renewed Premium)",N/A,4.2,"1,025",https://www.amazon.com/Apple-iPhone-14-Pro-256GB/dp/B0BYLM8RRW/ref=sr_1_15
"Apple iPhone 14 Pro Max, 256GB, Gold - Unlocked (Renewed Premium)",N/A,4.3,652,https://www.amazon.com/Apple-iPhone-Pro-256GB-Gold/dp/B0BYLJVFHW/ref=sr_1_16
